MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
8.3252,41.0,6.984126984126984,1.0238095238095235,322.0,2.555555555555556,37.88,-122.23,4.526
8.3014,21.0,6.238137082601054,0.9718804920913884,2401.0,2.109841827768014,37.86,-122.22,3.585
7.2574,52.0,8.288135593220339,1.073446327683616,496.0,2.8022598870056497,37.85,-122.24,3.5210000000000004
5.6431,52.0,5.817351598173516,1.0730593607305936,558.0,2.5479452054794516,37.85,-122.25,3.4130000000000003
3.8462,52.0,6.281853281853283,1.0810810810810811,565.0,2.1814671814671813,37.85,-122.25,3.4219999999999997
4.0368,52.0,4.761658031088083,1.1036269430051813,413.0,2.139896373056995,37.85,-122.25,2.697
3.6591,52.0,4.9319066147859925,0.95136186770428,1094.0,2.1284046692607004,37.84,-122.25,2.992
3.12,52.0,4.797527047913447,1.061823802163833,1157.0,1.7882534775888717,37.84,-122.25,2.414
2.0804,42.0,4.294117647058823,1.1176470588235294,1206.0,2.026890756302521,37.84,-122.26,2.267
3.6912,52.0,4.970588235294118,0.9901960784313726,1551.0,2.1722689075630246,37.84,-122.25,2.611
3.2031,52.0,5.477611940298507,1.079601990049751,910.0,2.263681592039801,37.85,-122.26,2.815
3.2705,52.0,4.7724795640326985,1.0245231607629428,1504.0,2.0490463215258856,37.85,-122.26,2.418
3.075,52.0,5.322649572649572,1.0128205128205128,1098.0,2.3461538461538463,37.85,-122.26,2.135
2.6736,52.0,4.0,1.0977011494252873,345.0,1.9827586206896552,37.84,-122.26,1.913
1.9167,52.0,4.262903225806451,1.0096774193548388,1212.0,1.9548387096774196,37.85,-122.26,1.5919999999999999
2.125,50.0,4.242424242424242,1.071969696969697,697.0,2.640151515151515,37.85,-122.26,1.4
2.775,52.0,5.9395770392749245,1.0483383685800605,793.0,2.3957703927492453,37.85,-122.27,1.525
2.1202,52.0,4.0528052805280534,0.966996699669967,648.0,2.1386138613861387,37.85,-122.27,1.555
1.9911,50.0,5.343675417661098,1.0859188544152745,990.0,2.362768496420048,37.84,-122.26,1.587
2.6033,52.0,5.465454545454546,1.0836363636363635,690.0,2.5090909090909093,37.84,-122.27,1.629
1.3578,40.0,4.524096385542169,1.108433734939759,409.0,2.463855421686747,37.85,-122.27,1.475
1.7135,42.0,4.478142076502731,1.0027322404371584,929.0,2.5382513661202184,37.85,-122.27,1.598
1.725,52.0,5.096234309623432,1.1317991631799162,1015.0,2.1234309623430963,37.84,-122.27,1.139
2.1806,52.0,5.193846153846153,1.0369230769230768,853.0,2.624615384615385,37.84,-122.27,0.997
2.6,52.0,5.270142180094787,1.0355450236966826,1006.0,2.3838862559241707,37.84,-122.27,1.3259999999999998
2.4038,41.0,4.495798319327732,1.0336134453781514,317.0,2.6638655462184877,37.85,-122.28,1.075
2.4597,49.0,4.728033472803348,1.0209205020920502,607.0,2.5397489539748954,37.85,-122.28,0.938
1.808,52.0,4.780856423173804,1.0604534005037782,1102.0,2.7758186397984885,37.85,-122.28,1.055
